trailer_id,trailer_number,type,length_ft,max_weight_lbs,status,home_terminal_id,year,last_inspection_date
9d40e1b4-1b38-4506-9309-fa418b29ed70,TRL-2001,flatbed,53,48000,available,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,2020,2025-09-22
3213b393-6587-4ab3-aebe-f1b2255f64ab,TRL-2002,reefer,53,43000,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,2022,2025-06-26
3cc0a8c7-4577-4c2e-9206-cf6c3b7e832a,TRL-2003,flatbed,53,48000,available,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,2025,2026-01-17
8aae9a9c-0eee-4741-a7df-d1c3c53029c7,TRL-2004,flatbed,53,48000,available,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,2017,2025-09-10
67c5679b-2c12-410b-a02c-2d0f3df2e542,TRL-2005,dry_van,48,42000,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,2018,2026-01-29
7dde0e14-a5fe-49fa-b779-c8e538e148d8,TRL-2006,tanker,42,50000,available,04487ae7-0061-4d10-bae0-a8cb11cde667,2024,2025-06-24
66e8e18b-b668-4afa-9c12-6740be236884,TRL-2007,flatbed,53,48000,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,2017,2025-06-13
804f5628-f4c0-4ea8-97db-4677319d20a7,TRL-2008,tanker,42,50000,available,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,2020,2025-07-03
4308c97d-5b89-4153-9c48-b057b2b86240,TRL-2009,tanker,42,50000,available,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,2020,2025-06-18
f842a25f-7678-41e2-bac0-174022b5f5ce,TRL-2010,tanker,42,50000,available,743c0ff0-e847-402c-8244-4f1429a62e75,2025,2025-07-24
343ce5da-290d-4e74-a9ec-5322e68528cc,TRL-2011,reefer,48,40000,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,2020,2025-08-24
9c35330d-5902-4dbc-91f7-36f0a064550e,TRL-2012,tanker,42,50000,available,8f995c84-607c-4ae0-b0d4-c21ca07f273d,2017,2025-08-10
aa3b3a22-4629-4fcb-9f9d-dfa9dc3576d5,TRL-2013,tanker,42,50000,available,8f995c84-607c-4ae0-b0d4-c21ca07f273d,2019,2025-10-17
bd119501-0183-4af9-b3d2-da8bf44ebba1,TRL-2014,dry_van,48,42000,available,743c0ff0-e847-402c-8244-4f1429a62e75,2019,2025-06-29
824f3868-d04f-4eb4-a79d-316b38897ee3,TRL-2015,flatbed,53,48000,available,04487ae7-0061-4d10-bae0-a8cb11cde667,2017,2025-07-04
3f5b7f5f-61bb-470e-b901-a32fd4c9e9f3,TRL-2016,dry_van,53,45000,available,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,2020,2025-10-29
23df1f8e-01a3-41cc-aacb-4f9a2ed292a5,TRL-2017,dry_van,48,42000,available,a5c4021b-5488-4368-9e13-974cfc4357b2,2019,2025-08-07
2e263988-b1af-40af-8b43-9b69fa5a0700,TRL-2018,dry_van,53,45000,available,8f995c84-607c-4ae0-b0d4-c21ca07f273d,2023,2025-10-13
9f9d9946-bc9f-448d-b404-aab4bf76b4d2,TRL-2019,dry_van,53,45000,available,5d09a17e-b9a6-49b4-b030-c77c1619b8f6,2018,2025-09-30
2009a58c-d58a-4ca0-878e-359bc0cece0e,TRL-2020,reefer,53,43000,available,743c0ff0-e847-402c-8244-4f1429a62e75,2022,2025-10-10
5f29b2d9-7a3d-4131-9c19-3c0442412aa9,TRL-2021,reefer,48,40000,available,932b0a9f-c131-45a8-834f-082694ccde46,2024,2025-10-07
3a5680c5-ca41-4211-91d8-5ab2c2848ae6,TRL-2022,dry_van,53,45000,available,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,2017,2025-12-04
7ed4d8c5-eb65-45d4-b521-78ae5b6c0a0d,TRL-2023,tanker,42,50000,available,bb2ededc-f89e-45a9-b92d-fa760543d230,2025,2025-08-17
97db0197-a597-4ed3-b11e-548fb1146531,TRL-2024,reefer,53,43000,available,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,2017,2025-06-16
7a086999-cbe8-4d28-a491-2a637843257e,TRL-2025,reefer,53,43000,available,04487ae7-0061-4d10-bae0-a8cb11cde667,2023,2025-09-18
0f0470ac-0931-4645-ab4d-339ab712d449,TRL-2026,flatbed,53,48000,available,932b0a9f-c131-45a8-834f-082694ccde46,2024,2025-11-30
91ff412e-f148-4ba8-a296-6a4f277df0bf,TRL-2027,reefer,53,43000,available,932b0a9f-c131-45a8-834f-082694ccde46,2018,2025-08-22
541fe953-ffdd-4d19-9b29-eacb68a0f3c3,TRL-2028,reefer,48,40000,available,8f995c84-607c-4ae0-b0d4-c21ca07f273d,2018,2025-07-03
fb5c011f-f4c8-4688-ac17-0e80fa88cd4f,TRL-2029,dry_van,48,42000,available,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,2025,2025-11-30
e699af2c-fe09-46e2-8535-308bcc0acc07,TRL-2030,dry_van,48,42000,available,a7a73568-5e65-43e1-bf71-2c7cd8483d63,2025,2025-08-15
b1d33517-4c72-4535-aeac-0086d32a0543,TRL-2031,reefer,53,43000,available,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,2023,2025-06-26
