trip_id,trip_number,driver_id,truck_id,trailer_id,load_id,route_id,status,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,current_latitude,current_longitude,odometer_start,odometer_end
8cd7b487-f896-46b6-8a29-d7b63e066a82,TRP-70001,f429ee7f-f592-4088-9168-959344298660,e3856ee0-7d9f-42f6-bcc8-07541faada11,3213b393-6587-4ab3-aebe-f1b2255f64ab,3e122e41-90d8-4934-b2c4-5f3fa954a2d4,171d48d9-341f-42ec-a7c9-a67a6c060469,completed,2026-02-12T06:00:00Z,2026-02-12T21:34:32.866216Z,2026-02-12T06:37:00Z,2026-02-12T21:38:32.866216Z,,,169252,170004
3b9c6f4a-4ead-4ce6-a51a-e1d7c6829422,TRP-70002,bc2d3db5-fc71-45a9-8a20-9a0d38c9a903,6cb71107-5578-4cfa-87c7-1cfd467fa466,3cc0a8c7-4577-4c2e-9206-cf6c3b7e832a,0a1484a0-fc9e-4aff-b2f5-9448c2c68d05,7999dce5-261c-4c48-9093-42d9b971690b,completed,2026-02-12T02:00:00Z,2026-02-12T08:29:05.312387Z,2026-02-12T01:40:00Z,2026-02-12T09:04:05.312387Z,,,584639,584880
cee44ed4-b747-4a7e-ab79-490657a94b64,TRP-70003,ccf7f73b-a742-4001-b8a5-bf9c3476f1c5,3c2d9b4d-a5df-42b4-acab-2a2cbd5f05a6,3f5b7f5f-61bb-470e-b901-a32fd4c9e9f3,325c0126-c67a-43f5-b052-579aad03fc1b,eb69d3be-bec0-4b91-9ef6-876acdd8f631,completed,2026-02-11T02:00:00Z,2026-02-11T08:35:42.023570Z,2026-02-11T02:59:00Z,2026-02-11T08:32:42.023570Z,,,561387,561667
662f3cb9-a3a8-438a-983f-2ae96ece214e,TRP-70004,e1b124a1-d47c-4c5b-9d43-ca03f1468d4d,d5803896-6365-4493-8dc5-def65e279c55,5f29b2d9-7a3d-4131-9c19-3c0442412aa9,c4595d23-7da9-480d-b2a3-c37a6c909043,b9b0030e-b8c1-46cc-91fd-6be460a3e0dc,completed,2026-02-09T21:00:00Z,2026-02-10T15:59:03.070450Z,2026-02-09T20:40:00Z,2026-02-10T17:46:03.070450Z,,,274619,275441
1f1ca2b8-c666-4ee6-85af-cc7545b16d7c,TRP-70005,b597bb5f-f9bc-447b-8716-2aafe7efb921,7c22f31f-7458-4c65-b5cd-665df68f08f6,9c35330d-5902-4dbc-91f7-36f0a064550e,798c7855-16c5-4255-83a6-10f022afd8c2,6c1d6213-a193-493e-b6a7-3d75c69cf67f,completed,2026-02-13T01:00:00Z,2026-02-13T13:06:57.005620Z,2026-02-13T01:18:00Z,2026-02-13T14:27:57.005620Z,,,398175,398737
238f5fbb-28b1-4985-91ce-8f3376dc2755,TRP-70006,1febb6ae-21cf-49d6-a398-4e459ff891d3,e56f4985-90f3-4999-bf5b-7158a39007f5,0f0470ac-0931-4645-ab4d-339ab712d449,3a269ce6-b0ec-41b0-9dbe-4a1ec8f2e498,3f0c94e1-1a10-4b23-8f5b-eb539ad9ea00,completed,2026-02-13T05:00:00Z,2026-02-14T04:36:36.879216Z,2026-02-13T05:59:00Z,2026-02-14T04:19:36.879216Z,,,267874,268946
d7372143-0565-4c69-856a-591089e0a2b8,TRP-70007,63bd5525-9a68-4494-8d0a-584779f269f8,779a60b6-d302-4947-9c74-f452ce157f2b,3a5680c5-ca41-4211-91d8-5ab2c2848ae6,909dd8fa-1be5-44d6-af59-d6998724d97d,9aee31e8-71d5-4d98-82a4-c01f70015aba,completed,2026-02-10T21:00:00Z,2026-02-11T03:44:09.561781Z,2026-02-10T21:52:00Z,2026-02-11T04:08:09.561781Z,,,506054,506301
31655ec1-3053-4bc2-aa04-4c3603cc6a47,TRP-70008,c0a53596-20b3-4934-8f2b-701a8ec9dac8,541bc8d7-d264-464b-9347-d2f54de442eb,541fe953-ffdd-4d19-9b29-eacb68a0f3c3,5b006c8f-b99a-458e-84dd-fa4e6db31199,ef7e12f6-e221-4b6c-a536-c3b87a0eec68,completed,2026-02-08T23:00:00Z,2026-02-09T19:31:17.469253Z,2026-02-08T23:37:00Z,2026-02-09T18:41:17.469253Z,,,206447,207328
777f8885-4176-419a-b756-4ca48f69f09c,TRP-70009,26a6822c-640c-48eb-b0d0-6a79d80f5dbc,9bb9d312-8be8-4108-9f87-55d941a7fb6f,b1d33517-4c72-4535-aeac-0086d32a0543,b19f547d-ab57-477b-9a23-b0114fbc1aba,200244b4-fcb1-4758-a7cb-d844e2fc08d2,completed,2026-02-12T09:00:00Z,2026-02-13T11:12:13.747957Z,2026-02-12T09:58:00Z,2026-02-13T12:37:13.747957Z,,,520183,521340
c2b17110-22c9-4b9c-b820-dc23d3b4eeaf,TRP-70010,80490301-5526-428e-b1da-7357b42fbe21,afcf1250-4acd-40dd-be2d-27632ea813e6,2d404225-f834-4960-814e-83c846f216aa,955c2518-bd2c-4082-ac9a-4e72202eb7ff,4246e3c4-4be7-4e78-8289-b50e095f2ef9,completed,2026-02-12T02:00:00Z,2026-02-12T12:32:22.869284Z,2026-02-12T01:39:00Z,2026-02-12T14:27:22.869284Z,,,481154,481692
